Date,inpatient_care_num,released_from_treatment_num,to_be_confirmed,Prefecture,Prefecture_code
2021-03-12,711,18380,8,Hokkaido,JP-01
2021-03-13,703,18439,3,Hokkaido,JP-01
2021-03-14,700,18480,3,Hokkaido,JP-01
2021-03-15,703,18534,2,Hokkaido,JP-01
2021-03-16,701,18672,75,Hokkaido,JP-01
2021-03-17,626,18756,15,Hokkaido,JP-01
2021-03-18,611,18790,62,Hokkaido,JP-01
2021-03-19,673,18826,36,Hokkaido,JP-01
2021-03-20,709,18871,2,Hokkaido,JP-01
2021-03-21,711,18916,13,Hokkaido,JP-01
2021-03-22,724,18969,5,Hokkaido,JP-01
2021-03-23,719,19052,43,Hokkaido,JP-01
2021-03-24,676,19115,16,Hokkaido,JP-01
2021-03-25,692,19171,8,Hokkaido,JP-01
2021-03-26,700,19209,29,Hokkaido,JP-01
2021-03-27,729,19249,22,Hokkaido,JP-01
2021-03-28,751,19286,36,Hokkaido,JP-01
2021-03-29,787,19345,14,Hokkaido,JP-01
2021-03-30,773,19413,14,Hokkaido,JP-01
2021-03-31,759,19443,43,Hokkaido,JP-01
2021-04-01,802,19539,42,Hokkaido,JP-01
2021-04-02,760,19603,9,Hokkaido,JP-01
2021-04-03,751,19636,33,Hokkaido,JP-01
2021-04-04,784,19667,22,Hokkaido,JP-01
2021-04-05,806,19692,46,Hokkaido,JP-01
2021-04-06,852,19747,2,Hokkaido,JP-01
2021-04-07,854,19797,18,Hokkaido,JP-01
2021-04-08,872,19846,26,Hokkaido,JP-01
2021-04-09,898,19879,46,Hokkaido,JP-01
2021-04-10,944,19976,17,Hokkaido,JP-01
2021-04-11,961,20115,73,Hokkaido,JP-01
2021-04-12,888,20190,20,Hokkaido,JP-01
2021-04-13,868,20271,24,Hokkaido,JP-01
2021-04-14,844,20334,12,Hokkaido,JP-01
2021-04-15,845,20409,32,Hokkaido,JP-01
2021-04-16,877,20466,37,Hokkaido,JP-01
2021-04-17,914,20522,50,Hokkaido,JP-01
2021-04-18,964,20567,49,Hokkaido,JP-01
2021-04-19,1013,20623,18,Hokkaido,JP-01
2021-04-20,1031,20714,11,Hokkaido,JP-01
2021-04-21,1042,20797,34,Hokkaido,JP-01
2021-04-22,1076,20894,51,Hokkaido,JP-01
2021-04-23,1127,20980,67,Hokkaido,JP-01
2021-04-24,1194,21072,62,Hokkaido,JP-01
2021-04-25,1256,21108,69,Hokkaido,JP-01
2021-04-26,1325,21170,71,Hokkaido,JP-01
2021-04-27,1396,21282,3,Hokkaido,JP-01
2021-04-28,1399,21371,125,Hokkaido,JP-01
2021-04-29,1524,21501,102,Hokkaido,JP-01
2021-04-30,1626,21568,116,Hokkaido,JP-01
2021-05-01,1742,21726,21,Hokkaido,JP-01
2021-05-02,1763,21795,251,Hokkaido,JP-01
2021-05-03,2014,21927,22,Hokkaido,JP-01
2021-05-04,1992,22055,100,Hokkaido,JP-01
2021-05-05,2092,22122,112,Hokkaido,JP-01
2021-05-06,2204,22210,227,Hokkaido,JP-01
2021-05-07,2431,22549,95,Hokkaido,JP-01
2021-05-08,2336,22660,289,Hokkaido,JP-01
2021-05-09,2625,22851,308,Hokkaido,JP-01
2021-05-10,2933,22928,328,Hokkaido,JP-01
2021-05-11,3261,23127,217,Hokkaido,JP-01
2021-05-12,3478,23346,303,Hokkaido,JP-01
2021-05-13,3781,23506,546,Hokkaido,JP-01
2021-05-14,4327,23653,438,Hokkaido,JP-01
2021-05-15,4765,23890,327,Hokkaido,JP-01
2021-05-16,5092,24155,221,Hokkaido,JP-01
2021-05-17,5313,24349,168,Hokkaido,JP-01
2021-05-18,5481,24565,309,Hokkaido,JP-01
2021-05-19,5790,24766,390,Hokkaido,JP-01
2021-05-20,6180,25370,68,Hokkaido,JP-01
2021-05-21,6248,25616,469,Hokkaido,JP-01
2021-05-22,6717,25765,504,Hokkaido,JP-01
2021-05-23,7221,26412,53,Hokkaido,JP-01
2021-05-24,7168,26605,158,Hokkaido,JP-01
2021-05-25,7326,26792,263,Hokkaido,JP-01
2021-05-26,7589,27004,326,Hokkaido,JP-01
2021-05-27,7915,27180,383,Hokkaido,JP-01
2021-05-28,8298,27376,210,Hokkaido,JP-01
2021-05-29,8508,28298,492,Hokkaido,JP-01
2021-05-30,8016,28596,25,Hokkaido,JP-01
2021-05-31,7991,29019,163,Hokkaido,JP-01
2021-06-01,7828,29778,521,Hokkaido,JP-01
2021-06-02,7307,30401,316,Hokkaido,JP-01
2021-06-03,6991,31089,406,Hokkaido,JP-01
2021-06-04,6585,31439,154,Hokkaido,JP-01
2021-06-05,6431,31935,236,Hokkaido,JP-01
2021-06-06,6195,32336,230,Hokkaido,JP-01
2021-06-07,5965,32686,218,Hokkaido,JP-01
2021-06-08,5747,33003,216,Hokkaido,JP-01
2021-06-09,5531,33581,415,Hokkaido,JP-01
2021-06-10,5116,34094,342,Hokkaido,JP-01
2021-06-11,4774,34424,202,Hokkaido,JP-01
2021-06-12,4572,34653,119,Hokkaido,JP-01
2021-06-13,4453,35468,737,Hokkaido,JP-01
2021-06-14,3716,35764,235,Hokkaido,JP-01
2021-06-15,3481,35988,155,Hokkaido,JP-01
2021-06-16,3326,36402,334,Hokkaido,JP-01
2021-06-17,2992,36579,108,Hokkaido,JP-01
2021-06-18,2884,36904,252,Hokkaido,JP-01
2021-06-19,2632,37110,139,Hokkaido,JP-01
2021-06-20,2493,37393,233,Hokkaido,JP-01
2021-06-21,2260,37516,90,Hokkaido,JP-01
2021-06-22,2170,37650,117,Hokkaido,JP-01
2021-06-23,2053,37789,101,Hokkaido,JP-01
2021-06-24,1952,38200,389,Hokkaido,JP-01
2021-06-25,1563,38377,148,Hokkaido,JP-01
2021-06-26,1415,38516,97,Hokkaido,JP-01
2021-06-27,1318,38599,58,Hokkaido,JP-01
2021-06-28,1260,38672,50,Hokkaido,JP-01
2021-06-29,1210,38782,92,Hokkaido,JP-01
2021-06-30,1118,38977,162,Hokkaido,JP-01
2021-07-01,956,39105,90,Hokkaido,JP-01
2021-07-02,866,39211,81,Hokkaido,JP-01
2021-07-03,785,39316,77,Hokkaido,JP-01
2021-07-04,708,39388,35,Hokkaido,JP-01
2021-07-05,673,39448,36,Hokkaido,JP-01
2021-07-06,637,39515,34,Hokkaido,JP-01
2021-07-07,603,39685,103,Hokkaido,JP-01
2021-07-08,500,39725,22,Hokkaido,JP-01
2021-07-09,522,39745,29,Hokkaido,JP-01
2021-07-10,551,39785,24,Hokkaido,JP-01
2021-07-11,575,39814,27,Hokkaido,JP-01
2021-07-12,602,39843,18,Hokkaido,JP-01
2021-07-13,620,39901,1,Hokkaido,JP-01
2021-07-14,621,39961,15,Hokkaido,JP-01
2021-07-15,636,40014,30,Hokkaido,JP-01
2021-07-16,666,40061,25,Hokkaido,JP-01
2021-07-17,691,40105,66,Hokkaido,JP-01
2021-07-18,757,40141,71,Hokkaido,JP-01
2021-07-19,828,40179,31,Hokkaido,JP-01
2021-07-20,859,40270,13,Hokkaido,JP-01
2021-07-21,872,40353,35,Hokkaido,JP-01
2021-07-22,907,40416,76,Hokkaido,JP-01
2021-07-23,983,40475,17,Hokkaido,JP-01
2021-07-24,1000,40552,41,Hokkaido,JP-01
2021-07-25,1041,40633,32,Hokkaido,JP-01
2021-07-26,1073,40683,86,Hokkaido,JP-01
2021-07-27,1159,40830,10,Hokkaido,JP-01
2021-07-28,1149,40965,92,Hokkaido,JP-01
2021-07-29,1241,41049,176,Hokkaido,JP-01
2021-07-30,1417,41149,150,Hokkaido,JP-01
2021-07-31,1567,41255,177,Hokkaido,JP-01
2021-08-01,1744,41354,168,Hokkaido,JP-01
2021-08-02,1912,41447,123,Hokkaido,JP-01
2021-08-03,2035,41607,51,Hokkaido,JP-01
2021-08-04,2086,41773,200,Hokkaido,JP-01
2021-08-05,2286,41942,173,Hokkaido,JP-01
2021-08-06,2459,42117,107,Hokkaido,JP-01
2021-08-07,2566,42318,145,Hokkaido,JP-01
2021-08-08,2711,42546,80,Hokkaido,JP-01
2021-08-09,2784,42721,142,Hokkaido,JP-01
2021-08-10,2926,42943,124,Hokkaido,JP-01
2021-08-11,3050,43292,2,Hokkaido,JP-01
2021-08-12,3052,43533,239,Hokkaido,JP-01
2021-08-13,3291,43760,227,Hokkaido,JP-01
2021-08-14,3518,44043,195,Hokkaido,JP-01
2021-08-15,3518,44298,306,Hokkaido,JP-01
2021-08-16,3824,44621,34,Hokkaido,JP-01
2021-08-17,3858,45032,4,Hokkaido,JP-01
2021-08-18,3854,45376,251,Hokkaido,JP-01
2021-08-19,4105,45687,263,Hokkaido,JP-01
2021-08-20,4368,46057,152,Hokkaido,JP-01
2021-08-21,4520,46445,191,Hokkaido,JP-01
2021-08-22,4711,46786,188,Hokkaido,JP-01
2021-08-23,4899,47143,62,Hokkaido,JP-01
2021-08-24,4961,47591,23,Hokkaido,JP-01
2021-08-25,4938,48046,113,Hokkaido,JP-01
2021-08-26,5051,48471,79,Hokkaido,JP-01
2021-08-27,5130,48838,14,Hokkaido,JP-01
2021-08-28,5144,49302,9,Hokkaido,JP-01
2021-08-29,5135,49774,115,Hokkaido,JP-01
2021-08-30,5020,50250,213,Hokkaido,JP-01
2021-08-31,4807,50788,237,Hokkaido,JP-01
2021-09-01,4570,51348,212,Hokkaido,JP-01
2021-09-02,4358,51874,213,Hokkaido,JP-01
2021-09-03,4145,52450,327,Hokkaido,JP-01
2021-09-04,3818,52895,222,Hokkaido,JP-01
2021-09-05,3596,53209,96,Hokkaido,JP-01
2021-09-06,3500,53565,234,Hokkaido,JP-01
2021-09-07,3266,54139,440,Hokkaido,JP-01
2021-09-08,2826,54614,295,Hokkaido,JP-01
2021-09-09,2531,54989,231,Hokkaido,JP-01
2021-09-10,2300,55305,199,Hokkaido,JP-01
2021-09-11,2101,55571,111,Hokkaido,JP-01
2021-09-12,1990,55772,85,Hokkaido,JP-01
2021-09-13,1905,55975,149,Hokkaido,JP-01
2021-09-14,1756,56288,223,Hokkaido,JP-01
2021-09-15,1533,56527,130,Hokkaido,JP-01
2021-09-16,1403,56698,78,Hokkaido,JP-01
2021-09-17,1325,56812,30,Hokkaido,JP-01
