date,pref_no,Prefecture,Area,cases,Prefecture_code
2020-08-01,1,Hokkaido,北海道地方,18,JP-01
2020-08-02,1,Hokkaido,北海道地方,9,JP-01
2020-08-03,1,Hokkaido,北海道地方,23,JP-01
2020-08-04,1,Hokkaido,北海道地方,11,JP-01
2020-08-05,1,Hokkaido,北海道地方,14,JP-01
2020-08-06,1,Hokkaido,北海道地方,11,JP-01
2020-08-07,1,Hokkaido,北海道地方,14,JP-01
2020-08-08,1,Hokkaido,北海道地方,13,JP-01
2020-08-09,1,Hokkaido,北海道地方,11,JP-01
2020-08-10,1,Hokkaido,北海道地方,13,JP-01
2020-08-11,1,Hokkaido,北海道地方,14,JP-01
2020-08-12,1,Hokkaido,北海道地方,4,JP-01
2020-08-13,1,Hokkaido,北海道地方,10,JP-01
2020-08-14,1,Hokkaido,北海道地方,12,JP-01
2020-08-15,1,Hokkaido,北海道地方,14,JP-01
2020-08-16,1,Hokkaido,北海道地方,8,JP-01
2020-08-17,1,Hokkaido,北海道地方,5,JP-01
2020-08-18,1,Hokkaido,北海道地方,6,JP-01
2020-08-19,1,Hokkaido,北海道地方,8,JP-01
2020-08-20,1,Hokkaido,北海道地方,25,JP-01
2020-08-21,1,Hokkaido,北海道地方,10,JP-01
2020-08-22,1,Hokkaido,北海道地方,17,JP-01
2020-08-23,1,Hokkaido,北海道地方,14,JP-01
2020-08-24,1,Hokkaido,北海道地方,8,JP-01
2020-08-25,1,Hokkaido,北海道地方,7,JP-01
2020-08-26,1,Hokkaido,北海道地方,7,JP-01
2020-08-27,1,Hokkaido,北海道地方,10,JP-01
2020-08-28,1,Hokkaido,北海道地方,16,JP-01
2020-08-29,1,Hokkaido,北海道地方,9,JP-01
2020-08-30,1,Hokkaido,北海道地方,4,JP-01
2020-08-31,1,Hokkaido,北海道地方,8,JP-01
2020-09-01,1,Hokkaido,北海道地方,16,JP-01
2020-09-02,1,Hokkaido,北海道地方,6,JP-01
2020-09-03,1,Hokkaido,北海道地方,6,JP-01
2020-09-04,1,Hokkaido,北海道地方,5,JP-01
2020-09-05,1,Hokkaido,北海道地方,10,JP-01
2020-09-06,1,Hokkaido,北海道地方,4,JP-01
2020-09-07,1,Hokkaido,北海道地方,6,JP-01
2020-09-08,1,Hokkaido,北海道地方,11,JP-01
2020-09-09,1,Hokkaido,北海道地方,4,JP-01
2020-09-10,1,Hokkaido,北海道地方,11,JP-01
2020-09-11,1,Hokkaido,北海道地方,6,JP-01
2020-09-12,1,Hokkaido,北海道地方,7,JP-01
2020-09-13,1,Hokkaido,北海道地方,3,JP-01
2020-09-14,1,Hokkaido,北海道地方,8,JP-01
2020-09-15,1,Hokkaido,北海道地方,8,JP-01
2020-09-16,1,Hokkaido,北海道地方,11,JP-01
2020-09-17,1,Hokkaido,北海道地方,7,JP-01
2020-09-18,1,Hokkaido,北海道地方,17,JP-01
2020-09-19,1,Hokkaido,北海道地方,17,JP-01
2020-09-20,1,Hokkaido,北海道地方,16,JP-01
2020-09-21,1,Hokkaido,北海道地方,15,JP-01
2020-09-22,1,Hokkaido,北海道地方,9,JP-01
2020-09-23,1,Hokkaido,北海道地方,12,JP-01
2020-09-24,1,Hokkaido,北海道地方,11,JP-01
2020-09-25,1,Hokkaido,北海道地方,25,JP-01
2020-09-26,1,Hokkaido,北海道地方,7,JP-01
2020-09-27,1,Hokkaido,北海道地方,19,JP-01
2020-09-28,1,Hokkaido,北海道地方,17,JP-01
2020-09-29,1,Hokkaido,北海道地方,16,JP-01
2020-09-30,1,Hokkaido,北海道地方,16,JP-01
2020-10-01,1,Hokkaido,北海道地方,19,JP-01
2020-10-02,1,Hokkaido,北海道地方,15,JP-01
2020-10-03,1,Hokkaido,北海道地方,18,JP-01
2020-10-04,1,Hokkaido,北海道地方,22,JP-01
2020-10-05,1,Hokkaido,北海道地方,36,JP-01
2020-10-06,1,Hokkaido,北海道地方,12,JP-01
2020-10-07,1,Hokkaido,北海道地方,38,JP-01
2020-10-08,1,Hokkaido,北海道地方,29,JP-01
2020-10-09,1,Hokkaido,北海道地方,27,JP-01
2020-10-10,1,Hokkaido,北海道地方,24,JP-01
2020-10-11,1,Hokkaido,北海道地方,31,JP-01
2020-10-12,1,Hokkaido,北海道地方,12,JP-01
2020-10-13,1,Hokkaido,北海道地方,20,JP-01
2020-10-14,1,Hokkaido,北海道地方,20,JP-01
2020-10-15,1,Hokkaido,北海道地方,30,JP-01
2020-10-16,1,Hokkaido,北海道地方,31,JP-01
2020-10-17,1,Hokkaido,北海道地方,27,JP-01
2020-10-18,1,Hokkaido,北海道地方,24,JP-01
2020-10-19,1,Hokkaido,北海道地方,17,JP-01
2020-10-20,1,Hokkaido,北海道地方,31,JP-01
2020-10-21,1,Hokkaido,北海道地方,22,JP-01
2020-10-22,1,Hokkaido,北海道地方,40,JP-01
2020-10-23,1,Hokkaido,北海道地方,51,JP-01
2020-10-24,1,Hokkaido,北海道地方,60,JP-01
2020-10-25,1,Hokkaido,北海道地方,41,JP-01
2020-10-26,1,Hokkaido,北海道地方,50,JP-01
2020-10-27,1,Hokkaido,北海道地方,27,JP-01
2020-10-28,1,Hokkaido,北海道地方,52,JP-01
2020-10-29,1,Hokkaido,北海道地方,53,JP-01
2020-10-30,1,Hokkaido,北海道地方,69,JP-01
2020-10-31,1,Hokkaido,北海道地方,81,JP-01
2020-11-01,1,Hokkaido,北海道地方,68,JP-01
2020-11-02,1,Hokkaido,北海道地方,96,JP-01
2020-11-03,1,Hokkaido,北海道地方,71,JP-01
2020-11-04,1,Hokkaido,北海道地方,75,JP-01
2020-11-05,1,Hokkaido,北海道地方,118,JP-01
2020-11-06,1,Hokkaido,北海道地方,115,JP-01
2020-11-07,1,Hokkaido,北海道地方,187,JP-01
2020-11-08,1,Hokkaido,北海道地方,153,JP-01
2020-11-09,1,Hokkaido,北海道地方,200,JP-01
2020-11-10,1,Hokkaido,北海道地方,166,JP-01
2020-11-11,1,Hokkaido,北海道地方,197,JP-01
2020-11-12,1,Hokkaido,北海道地方,236,JP-01
2020-11-13,1,Hokkaido,北海道地方,235,JP-01
2020-11-14,1,Hokkaido,北海道地方,230,JP-01
2020-11-15,1,Hokkaido,北海道地方,209,JP-01
2020-11-16,1,Hokkaido,北海道地方,189,JP-01
2020-11-17,1,Hokkaido,北海道地方,197,JP-01
2020-11-18,1,Hokkaido,北海道地方,233,JP-01
2020-11-19,1,Hokkaido,北海道地方,267,JP-01
2020-11-20,1,Hokkaido,北海道地方,304,JP-01
2020-11-21,1,Hokkaido,北海道地方,234,JP-01
2020-11-22,1,Hokkaido,北海道地方,245,JP-01
2020-11-23,1,Hokkaido,北海道地方,206,JP-01
2020-11-24,1,Hokkaido,北海道地方,216,JP-01
2020-11-25,1,Hokkaido,北海道地方,181,JP-01
2020-11-26,1,Hokkaido,北海道地方,256,JP-01
2020-11-27,1,Hokkaido,北海道地方,252,JP-01
2020-11-28,1,Hokkaido,北海道地方,252,JP-01
2020-11-29,1,Hokkaido,北海道地方,192,JP-01
2020-11-30,1,Hokkaido,北海道地方,151,JP-01
2020-12-01,1,Hokkaido,北海道地方,206,JP-01
2020-12-02,1,Hokkaido,北海道地方,176,JP-01
2020-12-03,1,Hokkaido,北海道地方,206,JP-01
2020-12-04,1,Hokkaido,北海道地方,212,JP-01
2020-12-05,1,Hokkaido,北海道地方,183,JP-01
2020-12-06,1,Hokkaido,北海道地方,187,JP-01
2020-12-07,1,Hokkaido,北海道地方,124,JP-01
2020-12-08,1,Hokkaido,北海道地方,204,JP-01
2020-12-09,1,Hokkaido,北海道地方,197,JP-01
2020-12-10,1,Hokkaido,北海道地方,241,JP-01
2020-12-11,1,Hokkaido,北海道地方,177,JP-01
2020-12-12,1,Hokkaido,北海道地方,189,JP-01
2020-12-13,1,Hokkaido,北海道地方,164,JP-01
2020-12-14,1,Hokkaido,北海道地方,125,JP-01
2020-12-15,1,Hokkaido,北海道地方,104,JP-01
2020-12-16,1,Hokkaido,北海道地方,86,JP-01
2020-12-17,1,Hokkaido,北海道地方,139,JP-01
2020-12-18,1,Hokkaido,北海道地方,141,JP-01
2020-12-19,1,Hokkaido,北海道地方,132,JP-01
2020-12-20,1,Hokkaido,北海道地方,135,JP-01
2020-12-21,1,Hokkaido,北海道地方,110,JP-01
2020-12-22,1,Hokkaido,北海道地方,74,JP-01
2020-12-23,1,Hokkaido,北海道地方,114,JP-01
2020-12-24,1,Hokkaido,北海道地方,123,JP-01
2020-12-25,1,Hokkaido,北海道地方,97,JP-01
2020-12-26,1,Hokkaido,北海道地方,161,JP-01
2020-12-27,1,Hokkaido,北海道地方,85,JP-01
2020-12-28,1,Hokkaido,北海道地方,94,JP-01
2020-12-29,1,Hokkaido,北海道地方,87,JP-01
2020-12-30,1,Hokkaido,北海道地方,133,JP-01
2020-12-31,1,Hokkaido,北海道地方,167,JP-01
2021-01-01,1,Hokkaido,北海道地方,98,JP-01
2021-01-02,1,Hokkaido,北海道地方,77,JP-01
2021-01-03,1,Hokkaido,北海道地方,68,JP-01
2021-01-04,1,Hokkaido,北海道地方,93,JP-01
2021-01-05,1,Hokkaido,北海道地方,79,JP-01
2021-01-06,1,Hokkaido,北海道地方,115,JP-01
2021-01-07,1,Hokkaido,北海道地方,161,JP-01
